Surat,Ayat,Teks,processed_advanced
1,1,"Segala puji bagi Allah, Tuhan semesta alam",segala puji semesta alam
1,2,"Yang Maha Pengasih lagi Maha Penyayang,",maha asih maha sayang
1,3,Pemilik hari Pembalasan,milik hari balas
1,4,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.,engkau sembah hanya engkau mohon tolong
1,5,Bimbinglah kami ke jalan yang lurus,bimbing jalan lurus
1,6,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) orang-orang yang sesat.",jalan beri nikmat murka sesat
2,2,"Kitab (Al-Qur'an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang bertakwa,",kitab ragu dalam tunjuk takwa
2,3,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki yang Kami anugerahkan kepada mereka,",iman gaib tegak salat infak bagi rezeki anugerah
2,4,dan mereka yang beriman pada (Al-Qur'an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab suci) yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat.,iman turun kepada turun yakin ada akhirat
2,5,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.,mereka dapat tunjuk tuhan untung
2,6,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.",kufur sama bagi apakah beri ingat beri ingat iman
2,7,"Allah telah mengunci hati dan pendengaran mereka.) Pada penglihatan mereka ada penutup, dan bagi mereka azab yang sangat berat.",kunci hati dengar lihat ada tutup bagi azab berat
2,8,"Di antara manusia ada yang berkata,  Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang mukmin.",manusia iman hari akhir padahal bukan mukmin
2,9,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari.",tipu iman padahal hanya tipu diri sendiri sadar
2,10,"Dalam hati mereka ada penyakit,) lalu Allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta.",hati ada sakit tambah sakit dapat azab pedih selalu dusta
2,11,"Apabila dikatakan kepada mereka,  Janganlah berbuat kerusakan di bumi,”) mereka menjawab,  Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.”",apabila kata jangan buat rusak bumi jawab hanya laku baik
2,12,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari.",ingat mereka buat rusak sadar
2,13,"Apabila dikatakan kepada mereka,  Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menjawab,  Apakah kami akan beriman seperti orang-orang yang picik akalnya itu beriman?” Ingatlah, sesungguhnya mereka itulah orang-orang yang picik akalnya, tetapi mereka tidak tahu.",apabila kata rim bagaimana iman jawab iman picik akal iman ingat itu picik akal tahu
2,14,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi apabila mereka menyendiri dengan setan-setan (para pemimpin) mereka, mereka berkata,  Sesungguhnya kami bersama kamu, kami hanya pengolok-olok.”",apabila jumpa iman iman apabila sendiri setan setan sama hanya olok olok
2,15,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.,olok olok biar terombang ambing sesat
2,16,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaannya dan mereka bukanlah orang-orang yang mendapatkan petunjuk.",itu beli sesat tunjuk tidak untung niaga bukan dapat tunjuk
2,17,"Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat.",umpama seperti nyala api rang keliling lenyap cahaya biar gelap dapat lihat
