sura,ayat,topic,confidence,text
1,1,49,1.0,"Segala puji bagi Allah, Tuhan semesta alam"
1,2,23,0.05770747475068967,"Yang Maha Pengasih lagi Maha Penyayang,"
1,3,-1,0.0,Pemilik hari Pembalasan
1,4,-1,0.0,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.
1,5,27,0.3043026614913481,Bimbinglah kami ke jalan yang lurus
1,6,-1,0.0,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan buka..."
2,2,4,0.3757948698778777,Kitab (Al-Qur'an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang ...
2,3,28,1.0,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki ..."
2,4,1,0.023200157779407454,dan mereka yang beriman pada (Al-Qur'an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab s...
2,5,53,1.0,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.
2,6,1,0.17445619717779867,"Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri pe..."
2,7,52,1.0,"Allah telah mengunci hati dan pendengaran mereka.) Pada penglihatan mereka ada penutup, dan bagi mer..."
2,8,1,0.027181620155299405,"Di antara manusia ada yang berkata,  Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya..."
2,9,1,0.07719548043845965,"Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa ..."
2,10,19,0.007441948235099705,"Dalam hati mereka ada penyakit,) lalu Allah menambah penyakitnya dan mereka mendapat azab yang sanga..."
2,11,17,0.26348644489043777,"Apabila dikatakan kepada mereka,  Janganlah berbuat kerusakan di bumi,”) mereka menjawab,  Sesungguh..."
2,12,17,0.6430496491263986,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari."
2,13,1,0.281500251170588,"Apabila dikatakan kepada mereka,  Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menj..."
2,14,22,0.23635642768163,"Apabila mereka berjumpa dengan orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi..."
2,15,-1,0.0,Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan.
2,16,-1,0.0,"Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaa..."
2,17,-1,0.0,"Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, All..."
2,18,52,0.5968645806674714,"(Mereka) tuli, bisu, lagi buta, sehingga mereka tidak dapat kembali."
2,19,-1,0.0,"Atau, seperti (orang yang ditimpa) hujan lebat dari langit yang disertai berbagai kegelapan, petir, ..."
2,20,-1,0.0,"Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjal..."
2,21,5,0.06719146576481312,"Wahai manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu agar ..."
2,22,0,0.2655149951881193,"(Dialah) yang menjadikan bagimu bumi (sebagai) hamparan dan langit sebagai atap, dan Dialah yang men..."
2,23,13,1.0,Jika kamu (tetap) dalam keraguan tentang apa (Al-Qur'an) yang Kami turunkan kepada hamba Kami (Nabi ...
2,24,16,0.06878330037251727,"Jika kamu tidak (mampu) membuat(-nya) dan (pasti) kamu tidak akan (mampu) membuat(-nya), takutlah pa..."
2,25,38,0.6544721602742225,Sampaikanlah kabar gembira kepada orang-orang yang beriman dan beramal saleh bahwa untuk mereka (dis...
2,26,8,0.03500989149844993,Sesungguhnya Allah tidak segan membuat perumpamaan seekor nyamuk atau yang lebih kecil daripada itu....
2,27,-1,0.0,"(yaitu) orang-orang yang melanggar perjanjian Allah setelah (perjanjian) itu diteguhkan, memutuskan ..."
2,28,2,1.0,"Bagaimana kamu ingkar kepada Allah, padahal kamu (tadinya) mati, lalu Dia menghidupkan kamu, kemudia..."
2,29,0,1.0,"Dialah (Allah) yang menciptakan segala yang ada di bumi untukmu, kemudian Dia menuju ke langit, lalu..."
2,30,12,0.5655802588152706,"(Ingatlah) ketika Tuhanmu berfirman kepada para malaikat,  Aku hendak menjadikan khalifah) di bumi.”..."
2,31,12,1.0,"Dia mengajarkan kepada Adam nama-nama (benda) seluruhnya, kemudian Dia memperlihatkannya kepada para..."
2,32,-1,0.0,"Mereka menjawab,  Maha Suci Engkau. Tidak ada pengetahuan bagi kami, selain yang telah Engkau ajarka..."
2,33,0,0.5817816768268814,"Dia (Allah) berfirman,  Wahai Adam, beri tahukanlah kepada mereka nama-nama benda itu!” Setelah dia ..."
2,34,12,0.08677907036781246,"(Ingatlah) ketika Kami berfirman kepada para malaikat,  Sujudlah kamu kepada Adam!” Maka, mereka pun..."
2,35,7,0.11921486340872987,"Kami berfirman,  Wahai Adam, tinggallah engkau dan istrimu di dalam surga, makanlah dengan nikmat (b..."
2,36,22,0.3093292236770321,"Lalu, setan menggelincirkan keduanya darinya) sehingga keduanya dikeluarkan dari segala kenikmatan k..."
2,37,5,0.044126285051256334,"Kemudian, Adam menerima beberapa kalimat) dari Tuhannya, lalu Dia pun menerima tobatnya. Sesungguhny..."
2,38,19,0.2707996025451664,"Kami berfirman,  Turunlah kamu semua dari surga! Lalu, jika benar-benar datang petunjuk-Ku kepadamu,..."
2,39,16,0.40320487477097533,"(Sementara itu,) orang-orang yang mengingkari dan mendustakan ayat-ayat Kami, mereka itulah penghuni..."
2,40,30,0.24965250106637438,"Wahai Bani Israil,) ingatlah nikmat-Ku yang telah Aku berikan kepadamu dan penuhilah janjimu kepada-..."
2,41,-1,0.0,Berimanlah kamu kepada apa (Al-Qur'an) yang telah Aku turunkan sebagai pembenar bagi apa yang ada pa...
2,42,18,1.0,Janganlah kamu campuradukkan kebenaran dengan kebatilan) dan (jangan pula) kamu sembunyikan kebenara...
2,43,-1,0.0,"Tegakkanlah salat, tunaikanlah zakat, dan rukuklah beserta orang-orang yang rukuk."
2,44,4,0.36193397858324355,"Mengapa kamu menyuruh orang lain untuk (mengerjakan) kebajikan, sedangkan kamu melupakan dirimu send..."
2,45,28,1.0,Mohonlah pertolongan (kepada Allah) dengan sabar dan salat. Sesungguhnya (salat) itu benar-benar ber...
2,46,5,1.0,(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhannya dan hanya kepada-Nya mereka kem...
2,47,9,0.7678184924763944,"Wahai Bani Israil, ingatlah nikmat-Ku yang telah Aku anugerahkan kepadamu dan sesungguhnya Aku telah..."
2,48,19,0.035683438130284295,"Takutlah kamu pada suatu hari (kiamat) yang seseorang tidak dapat membela orang lain sedikit pun, sy..."
2,49,-1,0.0,(Ingatlah) ketika Kami menyelamatkan kamu dari (Fir‘aun dan) pengikut-pengikut Fir‘aun.) Mereka meni...
2,50,24,0.1582272606271825,"(Ingatlah) ketika Kami membelah laut untukmu, lalu Kami menyelamatkanmu dan menenggelamkan (Fir‘aun ..."
2,51,6,0.04633418585056967,(Ingatlah) ketika Kami menjanjikan (petunjuk Taurat) kepada Musa (melalui munajat selama) empat pulu...
2,52,-1,0.0,"Setelah itu, Kami memaafkan kamu agar kamu bersyukur."
2,53,-1,0.0,(Ingatlah) ketika Kami memberikan kitab (Taurat) dan furqān kepada Musa agar kamu memperoleh petunju...
2,54,2,0.02915591288544905,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Wahai kaumku, sesungguhnya kamu telah menzalimi diri..."
2,55,29,0.02836727951123043,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak akan beriman kepadamu sebelum melihat Allah ..."
2,56,9,0.06650792709019535,"Kemudian, Kami membangkitkan kamu setelah kematianmu agar kamu bersyukur."
2,57,32,1.0,Kami menaungi kamu dengan awan dan Kami menurunkan kepadamu manna dan salwa.) Makanlah (makanan) yan...
2,58,-1,0.0,"(Ingatlah) ketika Kami berfirman,  Masuklah ke negeri ini (Baitulmaqdis). Lalu, makanlah dengan nikm..."
2,59,16,0.027825953579414992,"Lalu, orang-orang yang zalim mengganti perintah dengan (perintah lain) yang tidak diperintahkan kepa..."
2,60,17,0.10729732850580105,"(Ingatlah) ketika Musa memohon (curahan) air untuk kaumnya. Lalu, Kami berfirman,  Pukullah batu itu..."
2,61,-1,0.0,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak tahan hanya (makan) dengan satu macam makana..."
2,62,-1,0.0,"Sesungguhnya orang-orang yang beriman, orang-orang Yahudi, orang-orang Nasrani, dan orang-orang Sabi..."
2,63,32,0.19495849466452153,(Ingatlah) ketika Kami mengambil janjimu dan Kami angkat gunung (Sinai) di atasmu (seraya berfirman)...
2,64,9,0.07527914040711273,"Setelah itu, kamu berpaling. Maka, seandainya bukan karena karunia Allah dan rahmat-Nya kepadamu, pa..."
2,65,31,1.0,"Sungguh, kamu benar-benar telah mengetahui orang-orang yang melakukan pelanggaran di antara kamu pad..."
2,66,-1,0.0,"Maka, Kami jadikan (yang demikian) itu sebagai peringatan bagi orang-orang pada masa itu dan bagi me..."
