sura,dominant_topic,confidence,topic_distribution
1,5,0.15471698,"[0.07924528 0.00377358 0.00377358 0.00377358 0.00377358 0.15471698
 0.15471698 0.04150943 0.07924528 0.07924528 0.11698113 0.00377358
 0.04150943 0.15471698 0.07924528]"
2,2,0.082747705,"[0.05700116 0.06227709 0.08274771 0.06375436 0.05489079 0.07261792
 0.05425768 0.0679751  0.07071859 0.05657909 0.07135169 0.07768282
 0.07198481 0.06776406 0.06839717]"
3,5,0.0851818,"[0.05083136 0.06362142 0.07056459 0.07129546 0.05192765 0.0851818
 0.05448566 0.05813996 0.07641148 0.06252512 0.07458433 0.07019916
 0.06106341 0.07933492 0.06983373]"
4,1,0.09207938,"[0.05172586 0.09207938 0.07306987 0.06006337 0.04872436 0.08607637
 0.05572787 0.06973487 0.07073537 0.05706187 0.08007337 0.06539937
 0.05972987 0.07240287 0.05739537]"
5,5,0.09654699,"[0.0508118  0.0745941  0.08282644 0.06498972 0.04257946 0.09654699
 0.05264121 0.0736794  0.05950149 0.05767208 0.0613309  0.05950149
 0.07047793 0.08053968 0.07230734]"
7,2,0.081888355,"[0.05927123 0.0718363  0.08188836 0.06573326 0.07542632 0.06106624
 0.05963023 0.06322025 0.06250224 0.07004128 0.04419314 0.06501526
 0.0725543  0.06860528 0.07901634]"
8,8,0.09087158,"[0.04651882 0.07333677 0.05786488 0.06095926 0.05889634 0.08261991
 0.06611656 0.07127385 0.09087158 0.05580196 0.08674575 0.07952553
 0.05270758 0.05786488 0.05889634]"
9,5,0.08700737,"[0.04530893 0.07785406 0.06310704 0.06361556 0.05344521 0.08700737
 0.05954742 0.06107297 0.07480295 0.0590389  0.07378592 0.08344775
 0.07226036 0.05547928 0.0702263 ]"
10,2,0.08995574,"[0.07156963 0.05045965 0.08995574 0.07293157 0.05999319 0.05045965
 0.0763364  0.05931222 0.06612189 0.07293157 0.05250255 0.06067416
 0.05114062 0.07974123 0.08586993]"
11,14,0.08218558,"[0.05890721 0.05050113 0.07830585 0.06602004 0.08089234 0.08089234
 0.06989978 0.07442612 0.06343356 0.04791465 0.04920789 0.05696734
 0.07119302 0.06925315 0.08218558]"
12,6,0.10176704,"[0.047674   0.06065633 0.06858997 0.04118283 0.06858997 0.07291742
 0.10176704 0.08517851 0.04839524 0.05777137 0.0779661  0.0743599
 0.06570501 0.07652362 0.05272268]"
13,7,0.091869354,"[0.04600417 0.07658096 0.05434329 0.0724114  0.08492008 0.03766505
 0.05851286 0.09186935 0.06268241 0.04600417 0.05851286 0.08492008
 0.08769979 0.06407227 0.07380125]"
14,6,0.083063945,"[0.06900913 0.04511595 0.05776528 0.08025298 0.0718201  0.06479269
 0.08306395 0.06057625 0.07041462 0.04230499 0.07041462 0.06760366
 0.08306395 0.06338721 0.07041462]"
15,6,0.11578947,"[0.10198446 0.05884383 0.03986195 0.06747196 0.0571182  0.04676445
 0.11578947 0.04849008 0.04503883 0.08990509 0.06402071 0.04849008
 0.07092321 0.09335634 0.05194133]"
16,2,0.08637445,"[0.05987088 0.06666666 0.08637445 0.06258919 0.07210329 0.06123004
 0.05307509 0.05783214 0.05035678 0.06055046 0.06598709 0.08501529
 0.07278287 0.07346245 0.07210329]"
17,8,0.08251021,"[0.07359821 0.06320089 0.06320089 0.07137022 0.07434088 0.04909023
 0.06914222 0.07805421 0.08251021 0.06617156 0.06617156 0.05725956
 0.06617156 0.06171556 0.05800223]"
18,4,0.09060479,"[0.06093572 0.05941423 0.08299734 0.06169646 0.09060479 0.04952453
 0.06093572 0.08832256 0.07691137 0.06778242 0.04876379 0.07615063
 0.06017497 0.05180677 0.06397869]"
19,0,0.08776628,"[0.08776628 0.06342057 0.06342057 0.069507   0.07559343 0.08654899
 0.06342057 0.07315885 0.060986   0.08776628 0.06585514 0.05855143
 0.04637858 0.05003043 0.04759586]"
21,9,0.09445968,"[0.07142074 0.03960504 0.07251783 0.07032364 0.07251783 0.05277016
 0.04838179 0.07032364 0.06812946 0.09445968 0.07142074 0.07251783
 0.06593527 0.06264399 0.06703236]"
22,8,0.07926769,"[0.07530925 0.05254824 0.06541316 0.07431965 0.05155863 0.0693716
 0.07629886 0.05452746 0.07926769 0.06541316 0.0703612  0.07234042
 0.05749629 0.07234042 0.06343395]"
24,1,0.099063754,"[0.05002229 0.09906375 0.0642889  0.0714222  0.05002229 0.0785555
 0.03397236 0.06963888 0.07498885 0.05626393 0.09282211 0.06696389
 0.08479714 0.04823896 0.05893892]"
25,0,0.09561805,"[0.09561805 0.04722041 0.04591236 0.08515369 0.07861347 0.05376063
 0.06945716 0.07338129 0.05376063 0.07861347 0.05768476 0.05506867
 0.06422498 0.06422498 0.07730543]"
26,6,0.11004957,"[0.06318161 0.06678684 0.08841821 0.06768814 0.06949076 0.06047769
 0.11004957 0.0748986  0.0487607  0.0748986  0.0739973  0.04064894
 0.0487607  0.06858946 0.04335286]"
