Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
1,1,"Segala puji bagi Allah, Tuhan semesta alam",segala puji semesta alam,segala puji semesta alam,segala puji bagi allah tuhan semesta alam
1,2,"Yang Maha Pengasih lagi Maha Penyayang,",maha asih maha sayang,maha pengasih maha penyayang,yang maha pengasih lagi maha penyayang
1,3,Pemilik hari Pembalasan,milik hari balas,pemilik hari pembalasan,pemilik hari pembalasan
1,4,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan.,engkau sembah hanya engkau mohon tolong,engkaulah menyembah hanya engkaulah memohon pertolongan,hanya kepada engkaulah kami menyembah dan hanya kepada engkaulah kami memohon pertolongan
1,5,Bimbinglah kami ke jalan yang lurus,bimbing jalan lurus,bimbinglah jalan lurus,bimbinglah kami ke jalan yang lurus
1,6,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) orang-orang yang sesat.",jalan beri nikmat murka sesat,jalan beri nikmat dimurkai sesat,jalan orang orang yang telah engkau beri nikmat bukan mereka yang dimurkai dan bukan orang orang yang sesat
2,2,"Kitab (Al-Qur'an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang bertakwa,",kitab ragu dalam tunjuk takwa,kitab keraguan dalamnya petunjuk bertakwa,kitab ini tidak ada keraguan di dalamnya petunjuk bagi orang orang yang bertakwa
2,3,"(yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki yang Kami anugerahkan kepada mereka,",iman gaib tegak salat infak bagi rezeki anugerah,beriman gaib menegakkan salat menginfakkan sebagian rezeki anugerahkan,orang orang yang beriman pada yang gaib menegakkan salat dan menginfakkan sebagian rezeki yang kami anugerahkan kepada mereka
2,4,dan mereka yang beriman pada (Al-Qur'an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab suci) yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat.,iman turun kepada turun yakin ada akhirat,beriman diturunkan kepadamu diturunkan yakin adanya akhirat,dan mereka yang beriman pada yang diturunkan kepadamu dan yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat
2,5,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.,mereka dapat tunjuk tuhan untung,merekalah mendapat petunjuk tuhannya beruntung,merekalah yang mendapat petunjuk dari tuhannya dan mereka itulah orang orang yang beruntung
