sura,dominant_topic,confidence,topic_distribution
1,7,0.23018868,"[0.00377358 0.00377358 0.19245283 0.00377358 0.07924528 0.07924528
 0.00377358 0.23018868 0.00377358 0.04150943 0.00377358 0.07924528
 0.04150943 0.15471698 0.07924528]"
2,6,0.07794355,"[0.0676398  0.07365032 0.06592251 0.06184394 0.0676398  0.05132553
 0.07794355 0.07622626 0.07343566 0.06635183 0.07300633 0.06334657
 0.05712139 0.05755071 0.06699581]"
3,1,0.09011725,"[0.06331658 0.09011725 0.05884981 0.06145543 0.0599665  0.04954402
 0.06927229 0.07708915 0.05922204 0.07113345 0.08527824 0.07187791
 0.06219989 0.06368881 0.05698865]"
4,14,0.0863845,"[0.06938637 0.08026517 0.05952745 0.05510794 0.07652558 0.0418494
 0.06054734 0.07924528 0.06292708 0.04932858 0.07176611 0.06224715
 0.07584566 0.06904641 0.0863845 ]"
5,1,0.091062635,"[0.06197514 0.09106264 0.07229651 0.05822191 0.07276566 0.05446868
 0.06572837 0.06525921 0.07792635 0.0633826  0.06807413 0.0633826
 0.06103683 0.06760497 0.05681445]"
7,0,0.08487166,"[0.08487166 0.05756418 0.07103587 0.06302567 0.07394867 0.06375387
 0.06703077 0.05210268 0.06156927 0.07067177 0.06521027 0.07176407
 0.06193337 0.07540506 0.06011287]"
8,7,0.10151594,"[0.08060638 0.0889702  0.0649242  0.0502875  0.06596968 0.03669629
 0.06387872 0.10151594 0.04715107 0.03669629 0.07642446 0.07119707
 0.09524307 0.05760585 0.06283324]"
9,1,0.10536965,"[0.0550454  0.10536965 0.07579767 0.06127108 0.07683528 0.03481193
 0.06749676 0.08409858 0.06801557 0.04985733 0.06801557 0.0633463
 0.05608301 0.07631648 0.05763943]"
10,11,0.07998622,"[0.06000689 0.05036169 0.06689631 0.06482948 0.07723045 0.06276266
 0.07516363 0.05380641 0.06069583 0.07447468 0.07378574 0.07998622
 0.07791939 0.06482948 0.05725112]"
11,10,0.08963714,"[0.06413861 0.06413861 0.07263812 0.07525335 0.08832952 0.06871527
 0.05433148 0.04910101 0.05237005 0.06217718 0.08963714 0.07525335
 0.0634848  0.04975482 0.07067669]"
12,2,0.11057091,"[0.09362799 0.05458564 0.11057091 0.0906814  0.07226519 0.04574586
 0.05016575 0.0678453  0.05311234 0.04353591 0.07447514 0.07594843
 0.05605893 0.06268877 0.04869245]"
13,1,0.089061394,"[0.07071277 0.08906139 0.05518701 0.05659844 0.05659844 0.07071277
 0.0848271  0.06506704 0.05377558 0.0848271  0.06647848 0.06647848
 0.07071277 0.04812985 0.06083274]"
14,1,0.08785047,"[0.08066139 0.08785047 0.06915887 0.06772106 0.05478073 0.07634795
 0.08497483 0.05478073 0.04759166 0.06772106 0.03896477 0.06772106
 0.06053199 0.05334292 0.08785047]"
15,3,0.10635335,"[0.07850304 0.05239339 0.05587467 0.10635335 0.05935596 0.09416884
 0.03672759 0.04717145 0.06457789 0.07502176 0.07502176 0.07154047
 0.04369017 0.08024368 0.05935596]"
16,6,0.07940669,"[0.06284926 0.06215936 0.05664022 0.06491894 0.06629872 0.07802691
 0.07940669 0.06215936 0.0587099  0.06767851 0.07940669 0.07388755
 0.07595722 0.05939979 0.05250086]"
17,10,0.08519774,"[0.06711864 0.05355932 0.05506591 0.06033898 0.05129943 0.07992467
 0.0754049  0.06259887 0.07841808 0.0565725  0.08519774 0.06787194
 0.0754049  0.05355932 0.07766479]"
18,5,0.08402002,"[0.06630728 0.05629573 0.04936465 0.05090489 0.05090489 0.08402002
 0.0670774  0.07015787 0.0832499  0.07400847 0.06938776 0.07092799
 0.06014632 0.07554871 0.07169811]"
