model,topic_id,word,score
BERTopic,0,bumi,0.07048714715210756
BERTopic,0,langit,0.06070167475411355
BERTopic,0,langit bumi,0.0538493848487424
BERTopic,0,cipta,0.02827918220275569
BERTopic,0,ada,0.027624749732194098
BERTopic,0,maha,0.023054481148324337
BERTopic,0,milik,0.022893539216278343
BERTopic,0,cipta langit,0.02151040554994311
BERTopic,0,segala,0.021500125725791353
BERTopic,0,ada langit,0.021343744103549563
BERTopic,1,iman,0.06988429520208528
BERTopic,1,wahai iman,0.01904835168197786
BERTopic,1,wahai,0.01505333810974774
BERTopic,1,agama,0.013952800863208424
BERTopic,1,benar,0.013347009793235816
BERTopic,1,iman kepada,0.013069726291542905
BERTopic,1,kufur,0.01267209299489227
BERTopic,1,kepada,0.012627211780337608
BERTopic,1,iman jangan,0.011786326651675076
BERTopic,1,ada,0.011143961684511615
BERTopic,2,hidup,0.05979169133807405
BERTopic,2,mati,0.059276504904387795
BERTopic,2,akhirat,0.04302760420167064
BERTopic,2,dunia,0.035010301133181376
BERTopic,2,hidup dunia,0.022998591906424788
BERTopic,2,hidup mati,0.021817156228380073
BERTopic,2,mati hidup,0.02012203803024977
BERTopic,2,dunia akhirat,0.019415248398445693
BERTopic,2,nyawa,0.014207805381041688
BERTopic,2,bumi,0.013484962656567732
BERTopic,3,jahat,0.023172315610130483
BERTopic,3,laku,0.019809867572310663
BERTopic,3,manusia,0.019275498454791117
BERTopic,3,cipta,0.016100192452685232
BERTopic,3,hina,0.01575201019192501
BERTopic,3,durhaka,0.01472500297709586
BERTopic,3,benar,0.01454936056103227
BERTopic,3,jahanam,0.01438688203488063
BERTopic,3,duga,0.013730427444106984
BERTopic,3,siapa,0.013709000600443435
BERTopic,4,nabi,0.029544437907381444
BERTopic,4,jihad,0.023597629049564597
BERTopic,4,muslim,0.022702262002238516
BERTopic,4,arab,0.02248886042319594
BERTopic,4,islam,0.016362783114918913
BERTopic,4,agama,0.01571799752418559
BERTopic,4,ibrahim,0.015552285726310514
BERTopic,4,iman,0.01529523936795763
BERTopic,4,masjid,0.01368094254260693
BERTopic,4,bahasa,0.013375239597740927
BERTopic,5,ayat,0.1359418842013095
BERTopic,5,ayat ayat,0.08913853328330848
BERTopic,5,kitab,0.0522471337234913
BERTopic,5,baca,0.028624989610157588
BERTopic,5,dusta ayat,0.027950356559372794
BERTopic,5,turun,0.02237647723944075
BERTopic,5,jelas,0.021150259687487998
BERTopic,5,olok,0.018415575432174536
BERTopic,5,dusta,0.018246912629411673
BERTopic,5,hikmah,0.017336367388766948
BERTopic,6,rasul,0.09875369357068203
BERTopic,6,bukti,0.0507296303806975
BERTopic,6,rasul rasul,0.03687347157168837
BERTopic,6,bukti bukti,0.027130384054456592
BERTopic,6,orang rasul,0.0254463583518106
BERTopic,6,datang,0.024187459597519334
BERTopic,6,rasul datang,0.023258358456447605
BERTopic,6,kepada,0.022544651499373375
BERTopic,6,bawa,0.02220340019842294
BERTopic,6,benar,0.022064611522360764
BERTopic,7,tuhan,0.10081137881461166
BERTopic,7,maha,0.03281313494200311
BERTopic,7,tuhan tuhan,0.026763671383797198
BERTopic,7,nama tuhan,0.02617769310002432
BERTopic,7,tuhan maha,0.025151952751638534
BERTopic,7,nama,0.019801148338802935
BERTopic,7,agung,0.019231604503702916
BERTopic,7,benar,0.018667265311717855
BERTopic,7,tuhan benar,0.017015535283914106
BERTopic,7,tuhan sudah,0.01498859169951149
BERTopic,8,perempuan,0.061040572407567356
BERTopic,8,istri,0.060373695145188075
BERTopic,8,laki,0.036662753263924985
BERTopic,8,istri istri,0.029353983016705634
BERTopic,8,anak,0.027213699746302625
BERTopic,8,saudara,0.026477088907411007
BERTopic,8,laki laki,0.02389060304296558
BERTopic,8,halal,0.023107131657804026
BERTopic,8,perempuan perempuan,0.021547108215077913
BERTopic,8,bagi,0.01944388719876064
BERTopic,9,kafir,0.12007954514018879
BERTopic,9,kaum kafir,0.019275546945250806
BERTopic,9,iman,0.014312625625345214
BERTopic,9,azab,0.013534633755477466
BERTopic,9,kafir azab,0.012292829764907401
BERTopic,9,ada,0.01210329004911076
BERTopic,9,dapat,0.011421907684443778
BERTopic,9,beri,0.010977130019687371
BERTopic,9,benar,0.010967863662534244
BERTopic,9,jangan,0.01051425100721859
BERTopic,10,api,0.07567297468269447
BERTopic,10,air,0.07485416224085496
BERTopic,10,minum,0.06594334039255127
BERTopic,10,panas,0.05434461603581084
BERTopic,10,gelas,0.04736806128269367
BERTopic,10,batu,0.03083375344026432
BERTopic,10,air panas,0.02648845744723132
BERTopic,10,mabuk,0.025882958610314546
BERTopic,10,mata,0.024692254507689245
BERTopic,10,mata air,0.0246257852448087
BERTopic,11,malam,0.11596904324614882
BERTopic,11,siang,0.0665874373262448
BERTopic,11,matahari,0.041611439500707156
BERTopic,11,bulan,0.037270704646992045
BERTopic,11,waktu,0.036661207364930545
BERTopic,11,tanda,0.03545235033661785
BERTopic,11,malam siang,0.03508964511847428
BERTopic,11,pagi,0.03508964511847428
BERTopic,11,petang,0.0296491967787737
BERTopic,11,bintang,0.025486457628347937
BERTopic,12,ingat,0.10842464719149614
BERTopic,12,beri ingat,0.07060045114574236
BERTopic,12,nenek,0.059452197903879955
BERTopic,12,moyang,0.059452197903879955
BERTopic,12,nenek moyang,0.059452197903879955
BERTopic,12,orang beri,0.042740435177084486
BERTopic,12,beri,0.03462366523430762
BERTopic,12,dahulu,0.032116409481316395
BERTopic,12,mimpi,0.030761631197989088
BERTopic,12,ingat ingat,0.029477930092886507
BERTopic,13,anugerah,0.06043314449089134
BERTopic,13,karunia,0.044570187003580654
BERTopic,13,syukur,0.03535690653660126
BERTopic,13,rahmat,0.02765814999530278
BERTopic,13,nikmat,0.02496449523410423
BERTopic,13,beri,0.02309224911548979
BERTopic,13,kaya,0.021203452028870837
BERTopic,13,kikir,0.020429678350093353
BERTopic,13,besar,0.01934015212047873
BERTopic,13,senang,0.019162523907712364
BERTopic,14,dosa,0.15766814811114377
BERTopic,14,dosa dosa,0.06369618938611504
BERTopic,14,pikul,0.02703651053323319
BERTopic,14,ampun,0.024869802701716466
BERTopic,14,pikul dosa,0.021018675789411325
BERTopic,14,dosa besar,0.021018675789411325
BERTopic,14,buat dosa,0.018859647314394948
BERTopic,14,buat,0.017395508637825387
BERTopic,14,salah,0.016708636413180895
BERTopic,14,ada,0.015193445511235264
BERTopic,15,hari,0.16454314928144836
BERTopic,15,celaka hari,0.0645904366935944
BERTopic,15,hari dusta,0.05975560777229224
