sura,ayat,dominant_topic,confidence
1,1,0,0.43749997
1,2,2,0.8541666
1,3,0,0.28947368
1,4,6,0.3088235
1,5,1,0.81578946
1,6,1,0.36206895
2,2,4,0.5344827
2,3,1,0.35227272
2,4,7,0.39743587
2,5,6,0.5344827
2,6,4,0.52040815
2,7,0,0.31632653
2,8,6,0.525641
2,9,7,0.57954544
2,10,0,0.28703701
2,11,7,0.6574074
2,12,7,0.5344827
2,13,4,0.25949365
2,14,6,0.3984375
2,15,4,0.74999994
2,16,4,0.4722222
2,17,0,0.4765625
2,18,2,0.43749997
2,19,0,0.40909094
2,20,4,0.2236842
2,21,6,0.45588234
2,22,0,0.43750003
2,23,7,0.3984375
2,24,0,0.34745762
2,25,4,0.58766234
2,26,4,0.35858586
2,27,6,0.43220338
2,28,0,0.6931818
2,29,0,0.6824325
2,30,0,0.2712766
2,31,2,0.43220338
2,32,2,0.6864407
2,33,2,0.50917435
2,34,6,0.85593224
2,35,6,0.24404763
2,36,0,0.25757575
2,37,2,0.6594203
2,38,4,0.34269664
2,39,3,0.46590906
2,40,7,0.38607594
2,41,3,0.38607594
2,42,3,0.39743587
2,43,2,0.78205127
2,44,3,0.34745762
2,45,7,0.31632653
2,46,6,0.8541666
2,47,1,0.28703701
2,48,7,0.43220338
2,49,5,0.42436978
2,50,6,0.28703701
2,51,5,0.41836733
2,52,1,0.39285716
2,53,3,0.525641
2,54,2,0.30223882
2,55,6,0.31632653
2,56,0,0.55263156
2,57,7,0.53723407
2,58,5,0.29326925
2,59,7,0.6864407
2,60,1,0.43023258
2,61,6,0.27405858
2,62,4,0.3894231
2,63,4,0.36956522
2,64,6,0.525641
2,65,7,0.43220338
2,66,4,0.45588234
2,67,6,0.44202897
2,68,6,0.43220338
2,69,6,0.34745762
2,70,4,0.41836733
2,71,5,0.23033708
2,72,5,0.39743587
2,73,7,0.3796296
2,74,1,0.31395352
2,75,7,0.5169491
2,76,6,0.3445946
2,77,2,0.36206895
2,78,6,0.31632653
2,79,3,0.3984375
2,80,6,0.4765625
2,81,4,0.3796296
2,82,4,0.82653064
2,83,5,0.29136693
2,84,7,0.28703701
2,85,7,0.33762887
2,86,0,0.8068181
2,87,3,0.40604028
2,88,0,0.39743587
2,89,3,0.30357143
2,90,7,0.459596
2,91,7,0.3776596
2,92,3,0.4765625
2,93,7,0.28629032
2,94,7,0.41836733
2,95,1,0.19444443
2,96,6,0.26754385
2,97,4,0.25949365
2,98,5,0.3796296
2,99,3,0.5648148
2,100,7,0.41836733
2,101,0,0.36956522
2,102,6,0.24835527
2,103,4,0.52040815
2,104,2,0.22463767
2,105,6,0.36309525
2,106,0,0.3445946
2,107,0,0.6931818
2,108,7,0.3445946
2,109,0,0.20707071
2,110,7,0.44202897
2,111,3,0.43220338
2,112,7,0.25949365
2,113,7,0.39887643
2,114,0,0.26754385
2,115,0,0.34745762
2,116,0,0.5648148
2,117,7,0.52040815
2,118,4,0.4797297
2,119,4,0.43220338
2,120,6,0.35858586
2,121,3,0.29710144
2,122,1,0.28703701
2,123,7,0.5546875
2,124,7,0.5759494
2,125,7,0.39912283
2,126,7,0.19767442
2,127,2,0.6328125
2,128,2,0.35526317
2,129,3,0.511236
2,130,6,0.277027
2,131,6,0.525641
2,132,5,0.44936708
2,133,7,0.29326925
2,134,7,0.6931818
2,135,7,0.3984375
2,136,7,0.5817308
2,137,2,0.4765625
2,138,4,0.36206895
2,139,4,0.4722222
2,140,7,0.60091746
2,141,7,0.6931818
2,142,7,0.28651688
