sura,ayat,0,1,2,3,4,5,6,7,8,9
1,1,0.02,0.02,0.42,0.42,0.02,0.02,0.02,0.02,0.02,0.02
1,2,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02
1,3,0.025,0.025,0.275,0.525,0.025,0.025,0.025,0.025,0.025,0.025
1,4,0.15714286,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.44285712,0.014285714,0.014285714,0.29999998
1,5,0.525,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025
1,6,0.51666665,0.016666668,0.016666668,0.016666668,0.18333334,0.016666668,0.016666668,0.016666668,0.016666668,0.18333334
2,2,0.18333334,0.016666668,0.016666668,0.18333334,0.18333334,0.016666668,0.016666668,0.016666668,0.35,0.016666668
2,3,0.12222222,0.011111111,0.011111111,0.011111111,0.23333332,0.011111111,0.12222222,0.23333332,0.011111111,0.23333332
2,4,0.0125,0.0125,0.0125,0.0125,0.3875,0.0125,0.0125,0.1375,0.0125,0.3875
2,5,0.18333334,0.016666668,0.016666668,0.016666668,0.18333334,0.016666668,0.016666668,0.18333334,0.016666668,0.35
2,6,0.21,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.31,0.31
2,7,0.01,0.01,0.01,0.11,0.01,0.41,0.01,0.11,0.11,0.21
2,8,0.0125,0.0125,0.0125,0.1375,0.0125,0.0125,0.0125,0.0125,0.3875,0.3875
2,9,0.011111111,0.011111111,0.011111111,0.011111111,0.23333332,0.011111111,0.011111111,0.23333332,0.011111111,0.45555556
2,10,0.009090909,0.009090909,0.009090909,0.19090909,0.009090909,0.1,0.009090909,0.1,0.1,0.46363637
2,11,0.009090909,0.009090909,0.1,0.009090909,0.009090909,0.009090909,0.009090909,0.28181818,0.1,0.46363637
2,12,0.016666668,0.016666668,0.016666668,0.016666668,0.18333334,0.016666668,0.016666668,0.016666668,0.18333334,0.51666665
2,13,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.25625,0.63125
2,14,0.23846152,0.3923077,0.0076923077,0.0076923077,0.08461539,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.23846152
2,15,0.44285712,0.29999998,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.15714286
2,16,0.55454546,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.19090909,0.1,0.1
2,17,0.08461539,0.0076923077,0.0076923077,0.23846152,0.0076923077,0.3153846,0.0076923077,0.0076923077,0.08461539,0.23846152
2,18,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22
2,19,0.005,0.005,0.105,0.005,0.005,0.305,0.005,0.055,0.105,0.40500003
2,20,0.09130435,0.0043478264,0.1347826,0.04782609,0.0043478264,0.526087,0.04782609,0.0043478264,0.09130435,0.04782609
2,21,0.014285714,0.014285714,0.15714286,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.15714286,0.5857143
2,22,0.004761905,0.004761905,0.3857143,0.004761905,0.004761905,0.19523808,0.004761905,0.052380953,0.14761904,0.19523808
2,23,0.3923077,0.0076923077,0.16153845,0.0076923077,0.08461539,0.0076923077,0.08461539,0.0076923077,0.08461539,0.16153845
2,24,0.008333334,0.008333334,0.09166667,0.34166667,0.008333334,0.008333334,0.008333334,0.008333334,0.09166667,0.42499998
