sura,0,1,2,3,4,5,6,7,8,9
1,0.2106349,0.02015873,0.12849207,0.17015873,0.04793651,0.02015873,0.2665873,0.02015873,0.02015873,0.09555555
2,0.07276685,0.043943595,0.06780703,0.055994306,0.11815198,0.061609976,0.08939533,0.116367124,0.15317722,0.22078659
3,0.082511276,0.045239225,0.055203255,0.090843566,0.11664875,0.04632369,0.07477552,0.12045388,0.13561666,0.23238419
4,0.11304536,0.041512504,0.042930357,0.070603915,0.10926998,0.02952583,0.09211511,0.15163323,0.13758399,0.21177974
5,0.07667717,0.045026712,0.050465684,0.07753908,0.12137657,0.05314719,0.07806076,0.11584456,0.16206104,0.21980122
7,0.071861275,0.03618525,0.06619018,0.07665553,0.1308732,0.078623615,0.06226439,0.09477473,0.11793931,0.26463252
8,0.10570851,0.032578476,0.05856411,0.046621762,0.07438393,0.07217321,0.08509851,0.12613907,0.13571315,0.26301926
9,0.10097548,0.046621017,0.042604335,0.082852125,0.07692187,0.045412175,0.09769489,0.13240758,0.1313948,0.24311571
10,0.056661345,0.024078956,0.0767323,0.07889159,0.12729271,0.06750991,0.085226476,0.07790067,0.121905915,0.28380013
11,0.055630077,0.053016156,0.061932664,0.099474184,0.12205659,0.056759886,0.07354221,0.078276135,0.112749875,0.28656223
12,0.04297942,0.054220807,0.036302123,0.038453363,0.14703171,0.060590886,0.12175605,0.1442338,0.15483889,0.19959295
13,0.059902195,0.029674457,0.09145414,0.09419346,0.13177973,0.047733933,0.08406767,0.07897975,0.12717411,0.25504053
14,0.09220861,0.04058169,0.09010322,0.10085111,0.10174461,0.058893368,0.080406874,0.08017519,0.11180942,0.24322592
15,0.06874567,0.059056457,0.13530703,0.08376589,0.1362109,0.051099773,0.10338521,0.06262804,0.10701792,0.1927831
16,0.0632239,0.03797203,0.09735598,0.07443031,0.14393477,0.064815655,0.08639045,0.096107,0.105539575,0.23023033
17,0.085211515,0.025920086,0.089233324,0.052520353,0.10812442,0.07809321,0.08119711,0.10584157,0.11767862,0.25617978
18,0.098841794,0.03912425,0.084370926,0.07367394,0.10345852,0.06812926,0.04518093,0.13002516,0.12345868,0.23373653
19,0.06421948,0.037082978,0.06624626,0.07019225,0.12106154,0.06271095,0.089575835,0.122354746,0.13673581,0.22982013
21,0.05101344,0.07194529,0.08996797,0.07699465,0.119457886,0.061086107,0.067685805,0.09253639,0.119853176,0.24945928
22,0.07179223,0.04501703,0.080958724,0.09626,0.101400495,0.08239894,0.10815898,0.079765044,0.110732846,0.22351567
24,0.063801624,0.023095544,0.067081645,0.059141465,0.09663617,0.0910096,0.111906335,0.15310992,0.15943171,0.17478597
25,0.09497144,0.04262689,0.09525954,0.11016982,0.11041089,0.100294404,0.06815268,0.05849915,0.12801802,0.19159715
26,0.07241556,0.049504012,0.07480079,0.087613516,0.13189872,0.060990896,0.10296957,0.06475632,0.15112863,0.20392199
27,0.04538352,0.03845152,0.10142561,0.056405164,0.14299509,0.078982756,0.10471854,0.0879082,0.10058308,0.24314652
28,0.07761603,0.030882502,0.07470364,0.060804725,0.14232004,0.06702656,0.055772163,0.13168028,0.11433162,0.24486244
29,0.051767744,0.057503883,0.091852084,0.074774,0.12879321,0.05673278,0.11082946,0.06750909,0.09346623,0.26677153
30,0.057914495,0.035225984,0.15033151,0.065771945,0.10640428,0.072199166,0.109121196,0.07418121,0.09471704,0.23413317
31,0.058137625,0.020603912,0.124251395,0.06386274,0.09527015,0.06265104,0.13542174,0.14444742,0.09677664,0.19857733
32,0.07298939,0.029756304,0.10755286,0.12761955,0.11236254,0.09372867,0.083719335,0.056450438,0.094343655,0.22147727
33,0.065074556,0.055159137,0.04280874,0.07342181,0.09803609,0.049041595,0.08812731,0.13550156,0.16682413,0.22600508
34,0.07007867,0.021504195,0.097272806,0.069687724,0.11982762,0.06403896,0.118645065,0.07166957,0.12864046,0.23863493
35,0.06826167,0.01932425,0.1508612,0.07336017,0.12233769,0.07555922,0.089590475,0.06297109,0.13108604,0.20664819
36,0.0716208,0.034426942,0.11892122,0.06606012,0.10452297,0.08004583,0.09013512,0.045596395,0.1565718,0.23209877
37,0.05952354,0.07357717,0.10639091,0.083924815,0.12472411,0.08640662,0.07947204,0.08489808,0.13108286,0.16999984
38,0.05183356,0.035841987,0.12113492,0.12076464,0.10755682,0.07115383,0.08054523,0.07461888,0.15198399,0.18456613
39,0.059966695,0.040794652,0.115591615,0.112083174,0.113021515,0.051535778,0.07446151,0.073399365,0.12058359,0.23856209
40,0.075780764,0.04712427,0.08986237,0.107879184,0.12174183,0.0655553,0.09235996,0.07285245,0.09711126,0.22973263
41,0.06940332,0.027947126,0.070882395,0.09371456,0.12713557,0.07155447,0.10701681,0.10916432,0.09413732,0.2290441
42,0.07454803,0.03054821,0.13540006,0.048868213,0.09436857,0.03725587,0.10866202,0.09799934,0.12701784,0.24533184
43,0.08087375,0.046822928,0.08637541,0.08377115,0.1391387,0.08540284,0.08867884,0.07071183,0.10143848,0.21678612
44,0.046510022,0.059980568,0.15618066,0.122316964,0.11426274,0.070820175,0.07025056,0.053032644,0.115336135,0.19130953
46,0.052706555,0.04533168,0.054301396,0.0917009,0.17467403,0.06640096,0.07450099,0.083043516,0.11489663,0.24244334
47,0.14527531,0.10894484,0.041135155,0.0673259,0.09736691,0.045519903,0.06666833,0.0662035,0.11246321,0.24909694
48,0.12831818,0.021290205,0.0844249,0.08030237,0.14226471,0.043980334,0.09423696,0.058884256,0.16075234,0.18554573
49,0.046500698,0.036543496,0.06165164,0.029638337,0.0712899,0.04570736,0.16101477,0.17465374,0.1135362,0.25946388
50,0.043751165,0.0131119825,0.15592347,0.11835258,0.09166645,0.10008233,0.067185685,0.057195112,0.12587586,0.22685537
51,0.07219948,0.04443921,0.13027674,0.07720064,0.12724496,0.0550145,0.06803281,0.06866869,0.16510294,0.19182003
52,0.045692373,0.03812597,0.10954719,0.10382195,0.093518525,0.11081516,0.07311007,0.10417268,0.11067754,0.21051854
53,0.0634527,0.05146055,0.105235815,0.03673464,0.12490503,0.08864521,0.0783403,0.09548991,0.12426337,0.23147246
54,0.04527884,0.049136505,0.12490475,0.13777523,0.077539794,0.09305031,0.08952712,0.03466964,0.16834077,0.17977703
55,0.019866822,0.025082242,0.12072747,0.122075126,0.11545021,0.21119808,0.038262516,0.07908356,0.0810634,0.18719056
56,0.04068033,0.062395267,0.1480891,0.1383403,0.09112216,0.09548724,0.09237809,0.082531095,0.11000614,0.1389703
57,0.07522737,0.028377697,0.15138185,0.09188666,0.09923126,0.0514545,0.1425727,0.116202146,0.10886321,0.1348026
58,0.08824078,0.01682726,0.05182471,0.13841072,0.09130569,0.047280725,0.09322917,0.16378215,0.108091004,0.2010078
59,0.12021475,0.01746423,0.074210264,0.107429825,0.057224836,0.03611718,0.15836893,0.11174745,0.11235681,0.20486574
60,0.10580529,0.06339923,0.017078739,0.038766723,0.07131516,0.04415162,0.16784953,0.1568928,0.100600116,0.23414078
61,0.12147095,0.021260966,0.036606144,0.09363307,0.108357765,0.032671846,0.08647882,0.0954882,0.10960929,0.29442292
62,0.054404184,0.039010752,0.07732244,0.017498843,0.124518424,0.050344873,0.19536652,0.09802411,0.12113451,0.22237535
63,0.10198527,0.02441739,0.062365044,0.030546863,0.08664355,0.06499852,0.09876804,0.12822002,0.1412464,0.2608089
64,0.08546738,0.021905294,0.14685667,0.08989001,0.090635955,0.042485945,0.16068201,0.09972716,0.08873363,0.17361595
65,0.041570652,0.0087535465,0.07264808,0.08213965,0.09879768,0.041560244,0.028766543,0.14184336,0.19994043,0.2839798
66,0.06067429,0.05274721,0.081813656,0.10189498,0.08900558,0.0095740035,0.09501139,0.13568206,0.15712522,0.2164716
67,0.044432737,0.036496226,0.16680059,0.078833856,0.10107895,0.1032577,0.1258786,0.030327119,0.11332687,0.19956733
68,0.086812906,0.023795046,0.04415663,0.109602295,0.1285736,0.09833093,0.10108299,0.1372878,0.13105446,0.13930336
69,0.057896964,0.03742686,0.11517352,0.07713981,0.06927688,0.15311384,0.116860546,0.043362267,0.13401812,0.19573118
70,0.08552026,0.08475644,0.06825457,0.10205164,0.06481596,0.104118325,0.031241579,0.12878267,0.15843011,0.17202844
71,0.10028688,0.021243587,0.12663324,0.08402809,0.09334963,0.07592463,0.053036306,0.095004454,0.10485673,0.24563645
72,0.11466121,0.032802295,0.05314218,0.07741066,0.091618285,0.05401055,0.10264872,0.07238821,0.15040216,0.25091574
73,0.057378124,0.015568435,0.104734756,0.1308507,0.08239491,0.0634851,0.032826502,0.106527224,0.12506196,0.28117228
74,0.06815716,0.03605812,0.06557032,0.11256219,0.09897487,0.1039369,0.04390936,0.084217764,0.18206565,0.20454767
