sura,ayat,topic
1,1,0
1,2,3
1,3,-1
1,4,-1
1,5,27
1,6,-1
2,2,5
2,3,33
2,4,-1
2,5,45
2,6,1
2,7,47
2,8,1
2,9,1
2,10,-1
2,11,29
2,12,29
2,13,1
2,14,24
2,15,-1
2,16,-1
2,17,-1
2,18,47
2,19,-1
2,20,-1
2,21,-1
2,22,0
2,23,19
2,24,22
2,25,41
2,26,9
2,27,-1
2,28,2
2,29,0
2,30,17
2,31,17
2,32,-1
2,33,0
2,34,17
2,35,8
2,36,24
2,37,-1
2,38,23
2,39,22
2,40,36
2,41,-1
2,42,18
2,43,20
2,44,5
2,45,33
2,46,7
2,47,13
2,48,23
2,49,-1
2,50,28
2,51,11
2,52,-1
2,53,-1
2,54,2
2,55,30
2,56,13
2,57,32
2,58,-1
2,59,22
2,60,32
2,61,-1
2,62,-1
2,63,32
2,64,13
2,65,3
2,66,-1
2,67,29
2,68,29
2,69,29
2,70,29
2,71,29
2,72,-1
2,73,2
2,74,10
2,75,-1
2,76,1
2,77,-1
2,78,5
2,79,3
2,80,36
2,81,22
2,82,42
2,83,25
2,84,30
2,85,-1
2,86,2
2,87,6
2,88,1
2,89,9
2,90,9
2,91,4
2,92,-1
2,93,32
2,94,2
2,95,2
2,96,-1
2,97,-1
2,98,17
2,99,5
2,100,1
2,101,6
2,102,24
2,103,1
2,104,-1
2,105,9
2,106,-1
2,107,0
2,108,-1
2,109,9
2,110,-1
2,111,-1
2,112,23
2,113,-1
2,114,4
2,115,31
2,116,0
2,117,0
2,118,-1
2,119,22
2,120,-1
2,121,1
2,122,13
2,123,-1
2,124,-1
2,125,4
2,126,-1
2,127,4
2,128,-1
2,129,5
2,130,-1
2,131,-1
2,132,4
2,133,48
2,134,39
2,135,4
2,136,4
2,137,1
2,138,49
2,139,-1
2,140,-1
2,141,39
2,142,-1
2,143,-1
2,144,4
2,145,5
2,146,-1
2,147,7
2,148,-1
2,149,4
2,150,4
2,151,5
2,152,13
2,153,33
2,154,2
2,155,-1
2,156,-1
2,157,-1
2,158,-1
2,159,-1
2,160,-1
2,161,17
2,162,-1
2,163,-1
2,164,0
2,165,1
2,166,-1
2,167,-1
2,168,8
2,169,3
2,170,12
2,171,47
2,172,-1
2,173,-1
2,174,-1
2,175,22
2,176,5
2,177,17
2,178,-1
2,179,2
2,180,2
2,181,14
2,182,14
2,183,1
2,184,25
2,185,-1
2,186,-1
2,187,8
2,188,-1
2,189,-1
2,190,-1
2,191,4
2,192,3
2,193,1
2,194,-1
2,195,18
2,196,-1
2,197,-1
2,198,-1
2,199,-1
2,200,48
2,201,-1
2,202,39
2,203,14
2,204,-1
2,205,29
2,206,14
2,207,19
2,208,4
2,209,6
2,210,17
2,211,-1
2,212,-1
2,213,-1
2,214,-1
2,215,25
2,216,28
2,217,4
2,218,4
2,219,14
2,220,2
2,221,8
2,222,-1
2,223,8
2,224,-1
2,225,-1
2,226,8
2,227,-1
2,228,8
2,229,8
2,230,8
2,231,8
2,232,8
2,233,25
2,234,8
2,235,8
2,236,8
2,237,8
2,238,20
2,239,23
2,240,8
2,241,8
2,242,5
2,243,2
2,244,-1
2,245,13
2,246,4
2,247,-1
2,248,17
2,249,28
2,250,9
2,251,-1
2,252,5
2,253,6
2,254,9
2,255,0
2,256,1
2,257,22
2,258,-1
2,259,2
2,260,0
2,261,20
2,262,23
2,263,-1
2,264,-1
2,265,20
2,266,20
2,267,-1
2,268,24
2,269,13
2,270,-1
2,271,-1
2,272,-1
2,273,0
2,274,-1
2,275,24
2,276,14
2,277,33
2,278,1
2,279,-1
2,280,-1
2,281,44
2,282,-1
2,283,14
2,284,0
2,285,17
2,286,-1
3,2,2
3,3,5
3,4,5
3,5,0
3,6,-1
3,7,5
3,8,13
3,9,36
3,10,-1
3,11,14
3,12,-1
3,13,9
3,14,-1
3,15,41
3,16,14
3,17,11
3,18,17
3,19,4
3,20,4
3,21,4
3,22,-1
3,23,5
3,24,22
3,25,44
3,26,-1
3,27,11
3,28,9
3,29,0
3,30,19
3,31,14
3,32,9
3,33,-1
3,34,-1
3,35,8
3,36,-1
