Topic,Count,Name,Representation,Representative_Docs
-1,2231,-1_maha_benar_kepada_beri,"['maha', 'benar', 'kepada', 'beri', 'tahu', 'bagi', 'baik', 'kaum', 'ada', 'tuhan']","['utus orang rasul kecuali bahasa kaum beri jelas sesat siapa hendak beri tunjuk siapa hendak maha perkasa maha bijaksana', 'tuhan dia benar benar maha perkasa maha sayang', 'tuhan dia benar benar maha perkasa maha sayang']"
0,214,0_bumi_langit_langit bumi_ada,"['bumi', 'langit', 'langit bumi', 'ada', 'cipta', 'maha', 'milik', 'ada langit', 'segala', 'cipta langit']","['ada langit bumi tasbih dia maha perkasa maha bijaksana', 'langit bumi ada dua maha perkasa maha kam', 'milik allah raja langit bumi maha kuasa atas segala']"
1,190,1_nabi_jihad_arab_muslim,"['nabi', 'jihad', 'arab', 'muslim', 'iman', 'benar', 'islam', 'ibrahim', 'bagi', 'jalan']","['kata iman turun turun ibrahim ismail ishaq qub turun beri musa isa beri nabi nabi beda beda orang serah diri', 'iman hijrah jihad jalan harap rahmat maha kam maha sayang', 'sama mukmin duduk uzur jihad jalan harta jiwa lebih derajat jihad harta jiwa atas duduk masing masing janji baik lebih jihad atas duduk pahala besar']"
2,168,2_iman_wahai iman_agama_wahai,"['iman', 'wahai iman', 'agama', 'wahai', 'benar', 'iman kepada', 'kepada', 'kufur', 'tahu', 'hati']","['wahai iman jangan dekat salat ada mabuk sadar ucap jangan ada junub sekadar lalu mandi sakit sedang jalan salah orang tempat buang air sentuh perempuan dapat air tayamum debu baik usap wajah tangan maha maaf maha kam', 'wahai iman apabila diri hendak laksana salat basuh wajah tangan siku usap kepala dua kaki dua mata kaki ada junub mandi sakit jalan tempat buang air sentuh perempuan oleh air tayamum debu baik usap wajah tangan ingin jadi bagi sedikit sulit hendak bersih sempurna nikmat bagi syukur', 'wahai iman kerja']"
3,155,3_hidup_mati_akhirat_dunia,"['hidup', 'mati', 'akhirat', 'dunia', 'hidup dunia', 'hidup mati', 'mati hidup', 'dunia akhirat', 'nyawa', 'siksa']","['keluar hidup mati keluar mati hidup hidup bumi mati keluar', 'mati hidup', 'hidup mati']"
4,152,4_jahat_hina_benar_laku,"['jahat', 'hina', 'benar', 'laku', 'buat', 'buruk', 'jahanam', 'manusia', 'benar benar', 'durhaka']","['siapa datang baik bagi baik baik siapa datang jahat kerja jahat hanya beri balas selalu kerja', 'benar benar cipta kalang jin manusia jahanam hati guna paham mata guna lihat telinga guna dengar seperti hewan ternak bahkan sesat lengah', 'buat baik buat baik diri sendiri buat jahat diri sendiri apabila datang dua suram wajah pasuk masjid bagaimana masuk pertama kali binasa kuasa']"
5,118,5_tuhan_maha_tuhan tuhan_nama tuhan,"['tuhan', 'maha', 'tuhan tuhan', 'nama tuhan', 'tuhan maha', 'nama', 'agung', 'benar', 'tuhan benar', 'tahu']","['tasbih nama tuhan maha agung', 'tasbih nama tuhan maha agung', 'tasbih nama tuhan maha agung']"
6,111,6_ayat_ayat ayat_kitab_baca,"['ayat', 'ayat ayat', 'kitab', 'baca', 'dusta ayat', 'turun', 'dusta', 'jelas', 'benar', 'quran']","['ayat ayat kitab penuh hikmah', 'jangan sekali kali halang halang ayat ayat ayat ayat turun kepada seru tuhan jangan sekali kali masuk musyrik', 'benar benar dusta ayat ayat']"
7,107,7_kafir_kaum kafir_iman_azab,"['kafir', 'kaum kafir', 'iman', 'azab', 'ada', 'mukmin', 'kafir azab', 'beri', 'benar', 'wahai']","['turun tenang rasul mukmin turun bala tentara lihat siksa kafir balas kafir', 'tolong tolong kafir usir salah satu dua dua ada gua sahabat jangan sedih sama turun tenang kepada kuat bala tentara lihat jadi seru kafir seru paling rendah firman paling tinggi maha perkasa maha bijaksana', 'mereka kafir benar sedia kafir azab hina']"
8,97,8_rasul_rasul rasul_orang rasul_kepada,"['rasul', 'rasul rasul', 'orang rasul', 'kepada', 'benar', 'taat', 'orang', 'datang', 'utus', 'iman']","['orang rasul percaya kepada', 'orang rasul percaya kepada', 'benar benar salah orang rasul rasul']"
