sura,ayat,dominant_topic,confidence
1,1,5,0.38888887
1,2,5,0.7592592
1,3,4,0.25
1,4,2,0.554054
1,5,8,0.4772727
1,6,10,0.32812497
2,2,2,0.171875
2,3,13,0.32978722
2,4,13,0.3690476
2,5,12,0.48437497
2,6,13,0.39423078
2,7,13,0.29807693
2,8,13,0.48809525
2,9,13,0.43617022
2,10,4,0.4473684
2,11,13,0.35964912
2,12,0,0.171875
2,13,13,0.33116883
2,14,13,0.30597016
2,15,12,0.554054
2,16,12,0.27192983
2,17,13,0.23134328
2,18,0,0.57407403
2,19,3,0.2009804
2,20,13,0.21794872
2,21,12,0.4189189
2,22,5,0.3480392
2,23,13,0.30597016
2,24,9,0.4919355
2,25,9,0.38535035
2,26,12,0.25
2,27,4,0.27192983
2,28,3,0.43617022
2,29,5,0.52597404
2,30,5,0.2113402
2,31,6,0.57258064
2,32,5,0.57258064
2,33,5,0.27232143
2,34,9,0.33064517
2,35,9,0.23563218
2,36,3,0.2009804
2,37,5,0.6319445
2,38,4,0.2228261
2,39,0,0.43617022
2,40,1,0.25
2,41,4,0.25
2,42,1,0.3690476
2,43,11,0.48809525
2,44,3,0.16935484
2,45,13,0.29807693
2,46,12,0.38888887
2,47,10,0.27192983
2,48,13,0.41129032
2,49,11,0.33196723
2,50,3,0.27192983
2,51,3,0.29807693
2,52,10,0.32352942
2,53,6,0.25
2,54,5,0.4051095
2,55,13,0.29807693
2,56,1,0.25
2,57,13,0.31443298
2,58,9,0.3317757
2,59,12,0.25
2,60,9,0.3068182
2,61,4,0.16735537
2,62,4,0.28504673
2,63,13,0.2847222
2,64,10,0.25
2,65,12,0.33064517
2,66,0,0.4189189
2,67,3,0.2847222
2,68,0,0.16935484
2,69,3,0.4919355
2,70,12,0.49038464
2,71,3,0.2771739
2,72,13,0.3690476
2,73,3,0.4473684
2,74,9,0.344697
2,75,13,0.33064517
2,76,4,0.26623377
2,77,12,0.48437497
2,78,2,0.29807693
2,79,4,0.38059703
2,80,12,0.23134328
