sura,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.018605016,0.056483805,0.1086951,0.018605016,0.08252547,0.24166898,0.018605016,0.080333404,0.15828304,0.018605016,0.070688345,0.018605016,0.067169204,0.041127536
2,0.0462814,0.03847214,0.03430535,0.061053205,0.079011746,0.080705896,0.064825006,0.027412955,0.036933742,0.051329967,0.06303529,0.095012575,0.13280305,0.18881768
3,0.039874036,0.034094352,0.03898592,0.042734433,0.10547287,0.08058883,0.06443899,0.039599296,0.040471908,0.04987472,0.050974466,0.069315545,0.13594584,0.2076288
4,0.02419023,0.036347922,0.043538794,0.027241552,0.07677285,0.094409235,0.05475235,0.028011335,0.038340155,0.04793475,0.06603188,0.12360689,0.15061237,0.18820968
5,0.034917343,0.041522995,0.040698696,0.05271613,0.11668121,0.07792955,0.08750014,0.029914102,0.030825753,0.063043065,0.054297764,0.0686903,0.11941205,0.18185091
7,0.04626082,0.05088402,0.057902545,0.09294196,0.08037347,0.039206367,0.045386396,0.06489281,0.043650776,0.06298458,0.064328074,0.058752187,0.12099789,0.1714381
8,0.035711855,0.052901287,0.03470406,0.04772886,0.103726715,0.08961434,0.04198601,0.042382445,0.026469328,0.023782877,0.03929212,0.07504331,0.1272489,0.2594079
9,0.020124214,0.03449814,0.04131538,0.050935913,0.115101345,0.08460018,0.06468352,0.0518647,0.028956968,0.056347154,0.044720676,0.10402908,0.10923386,0.19358888
10,0.05149631,0.055596523,0.067829326,0.08052884,0.05457407,0.059569314,0.03247918,0.06515694,0.037774038,0.043813746,0.057400223,0.05180166,0.15690956,0.1850703
11,0.033932265,0.0422264,0.05680849,0.102902085,0.075521395,0.059035886,0.04082944,0.062018864,0.037887204,0.051173802,0.042729724,0.06484762,0.14699036,0.18309648
12,0.036805984,0.07702638,0.03571473,0.06580053,0.05879893,0.061413113,0.04304199,0.032149177,0.016567886,0.082987316,0.06777224,0.11672749,0.12097346,0.18422079
13,0.05179076,0.04963148,0.030098688,0.06861395,0.07579916,0.07830757,0.08503139,0.026079776,0.028883757,0.0641642,0.05331278,0.041239172,0.14089231,0.20615502
14,0.022464244,0.04680636,0.047743134,0.088342346,0.053490646,0.091518864,0.047985837,0.040035304,0.044450026,0.089361235,0.05763461,0.060125273,0.15185295,0.15818919
15,0.05074754,0.08123523,0.056956388,0.103121124,0.051767286,0.04915831,0.053641364,0.066025324,0.04714912,0.086306944,0.046641387,0.04858241,0.12489029,0.13377725
16,0.032994233,0.044209786,0.056756716,0.062728316,0.06973685,0.08311389,0.060155798,0.045551457,0.042375825,0.055969287,0.07248477,0.066524625,0.14359748,0.16380098
17,0.043052524,0.051730417,0.029390225,0.069477126,0.07446231,0.0638477,0.0492166,0.045699883,0.036406096,0.059255295,0.055118717,0.07902915,0.17509325,0.16822071
18,0.045505583,0.033993926,0.035975847,0.06731241,0.07440021,0.049670875,0.05444231,0.024510764,0.041434836,0.11302615,0.059591997,0.07474492,0.1470499,0.17834027
19,0.046343405,0.051400606,0.02771885,0.053722333,0.053299118,0.073168084,0.066787586,0.033932127,0.050345343,0.060973816,0.061911862,0.08420211,0.13865171,0.19754307
21,0.043151457,0.046928577,0.07882946,0.08865977,0.066261396,0.06391718,0.06254489,0.04636105,0.03828475,0.07534136,0.056145493,0.03751284,0.14699352,0.14906827
22,0.03251279,0.051123135,0.045939665,0.07857879,0.06815995,0.100248165,0.060399123,0.035368305,0.043330923,0.08004882,0.05327498,0.043245036,0.14599267,0.16177765
24,0.055579536,0.035588793,0.059642665,0.04462397,0.06415,0.110075444,0.05163712,0.027136581,0.037446585,0.060302127,0.050405666,0.12711394,0.11969835,0.15659924
25,0.05028155,0.043178156,0.04800636,0.06558217,0.063251324,0.08158078,0.07044934,0.05294702,0.06220054,0.06691041,0.046266563,0.04674205,0.14112574,0.16147801
26,0.045621548,0.07309837,0.08995328,0.08377342,0.06016996,0.051208187,0.036710095,0.073806815,0.037951514,0.069472276,0.06627247,0.049850453,0.10125113,0.16086046
27,0.04819622,0.053788517,0.048492845,0.07997557,0.049190335,0.095411085,0.022689875,0.068118416,0.04006669,0.049635693,0.071232796,0.061273817,0.14296399,0.16896418
